0.05,36.63707560277202,0.983,0.948,0.982,0.918
0.1,30.623220751886898,0.971,0.941,0.972,0.919
0.2,24.628444547604843,0.94,0.919,0.94,0.897
0.3,21.14816917645778,0.905,0.904,0.901,0.88
0.4,18.705467737511725,0.886,0.883,0.879,0.878
0.5,16.836404045523643,0.868,0.869,0.864,0.867
0.6,15.333404259374747,0.849,0.852,0.84,0.852
0.7,14.085010820173236,0.832,0.837,0.829,0.837
0.8,13.024145768130667,0.818,0.826,0.804,0.829
0.9,12.10714863858745,0.801,0.806,0.786,0.811
1,11.30393377934989,0.78,0.789,0.767,0.796
